,titulo,url,score,comentarios
0,Mario meets Pareto: multi-objective optimization of Mario Kart builds (mayerowitz.io),https://www.mayerowitz.io/blog/mario-meets-pareto,74,3
1,The design philosophy of Great Tables (posit-dev.github.io),https://posit-dev.github.io/great-tables/blog/design-philosophy/,238,47
2,Anatomy of a credit card rewards program (bitsaboutmoney.com),https://www.bitsaboutmoney.com/archive/anatomy-of-credit-card-rewards-programs/,767,509
3,Understanding and managing the impact of machine learning models on the web (w3.org),https://www.w3.org/reports/ai-web-impact/,56,11
4,German state ditches Microsoft for Linux and LibreOffice (zdnet.com),https://www.zdnet.com/article/german-state-ditches-microsoft-for-linux-and-libreoffice/,60,28
5,JetMoE: Reaching LLaMA2 performance with 0.1M dollars (myshell.ai),https://research.myshell.ai/jetmoe,133,56
6,Language models as compilers: Simulating pseudocode execution (arxiv.org),https://arxiv.org/abs/2404.02575,53,3
7,HTTP/2 Continuation Flood: Technical Details (nowotarski.info),https://nowotarski.info/http2-continuation-flood-technical-details/,187,16
8,C but Safe (xr0.dev),https://xr0.dev/,14,4
9,Reclaim Protocol (YC W21) Is Hiring BDRs (workatastartup.com),https://www.workatastartup.com/jobs/65710,0,0
10,Homemade 6 GHz pulse compression radar (hforsten.com),https://hforsten.com/homemade-6-ghz-pulse-compression-radar.html,223,63
11,The Great American Rail-Trail (railstotrails.org),https://www.railstotrails.org/site/greatamericanrailtrail/content/route/,134,75
12,Runtipi: Docker-based home server management (runtipi.io),https://runtipi.io,105,42
13,Show HN: Managed GitHub Actions Runners for AWS,item?id=39930908,38,26
14,"Containers and Unikernels: Similar, different, and intertwined (unikraft.io)",https://unikraft.io/blog/containers-and-unikernels/,57,2
15,Rejuvenating the Blood Cell Population (science.org),https://www.science.org/content/blog-post/rejuvenating-blood-cell-population,17,2
16,Fake AI law firms are sending fake DMCA threats to generate fake SEO gains (arstechnica.com),https://arstechnica.com/gadgets/2024/04/fake-ai-law-firms-are-sending-fake-dmca-threats-to-generate-fake-seo-gains/,69,31
17,Show HN: FizzBee – Formal methods in Python – Easiest Lang for everyday use (fizzbee.io),https://fizzbee.io/,16,0
18,The Crescendo Multi-Turn LLM Jailbreak Attack (crescendo-the-multiturn-jailbreak.github...),https://crescendo-the-multiturn-jailbreak.github.io//,6,0
19,XDP for game programmers (mas-bandwidth.com),https://mas-bandwidth.com/xdp-for-game-programmers/,32,17
20,Landslide topology uncovers failure movements (nature.com),https://www.nature.com/articles/s41467-024-46741-7,18,0
21,Improvements to the fine-tuning API and expanding our custom models program (openai.com),https://openai.com/blog/introducing-improvements-to-the-fine-tuning-api-and-expanding-our-custom-models-program,50,27
22,The V8 Sandbox (v8.dev),https://v8.dev/blog/sandbox,201,75
23,A Lifetime Under the Moon's Shadow (nytimes.com),https://www.nytimes.com/2024/04/02/science/eclipse-chasers-jay-pasachoff.html,3,0
24,PCIe 7.0 Draft 0.5 Spec: 512 GB/s over PCIe x16 On Track For 2025 (anandtech.com),https://www.anandtech.com/show/21335/full-draft-of-pcie-70-spec-available-512-gbs-over-pcie-x16-incoming,75,81
25,"Deaths at a California skydiving center, but the jumps go on (sfgate.com)",https://www.sfgate.com/bayarea/article/deaths-california-lodi-skydiving-center-19361603.php,64,85
26,LSST Camera: largest camera for astronomy (stanford.edu),https://www6.slac.stanford.edu/lsst,36,18
27,US Government funds pilot project for heated sand energy storage (pv-magazine.com),https://www.pv-magazine.com/2024/04/04/us-government-funds-pilot-project-for-heated-sand-energy-storage/,177,96
28,Reading more Ursula Le Guin (2019) (theoutline.com),https://theoutline.com/post/7886/ursula-le-guin-carrier-bag-theory,133,125
29,Collaborative data processing and documenting using org-babel (emacsconf.org),https://emacsconf.org/2023/talks/collab/,30,0
